epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.023,3.72673,6.17457,3.5514,0.09565,0.05086,0.02059,0.00479,3.33816,4.28882,3.18852,0.000664151,0.000664151,0.000664151
2,241.401,2.66966,2.88824,2.39698,0.43974,0.31914,0.30669,0.11129,2.30885,2.18342,1.9979,0.00130886,0.00130886,0.00130886
3,350.808,2.3541,2.08574,1.98348,0.45769,0.36618,0.36083,0.12431,2.20246,2.04221,1.85394,0.00193157,0.00193157,0.00193157
4,460.983,2.18447,1.83371,1.82589,0.5634,0.46281,0.44509,0.17603,2.0718,1.69821,1.73801,0.001901,0.001901,0.001901
5,582.418,2.12298,1.73631,1.77775,0.52586,0.39797,0.41748,0.17185,2.0437,1.92697,1.72769,0.001868,0.001868,0.001868
6,701.363,1.99719,1.61618,1.69303,0.68066,0.4973,0.54869,0.23349,1.93282,1.48198,1.65361,0.001835,0.001835,0.001835
7,823.433,1.96012,1.53321,1.64317,0.69307,0.57978,0.58727,0.24098,1.86883,1.36273,1.58651,0.001802,0.001802,0.001802
8,944.524,1.91104,1.47505,1.62564,0.68913,0.541,0.57292,0.25504,1.84429,1.35389,1.57998,0.001769,0.001769,0.001769
9,1069.01,1.88033,1.41512,1.58269,0.69361,0.57851,0.6145,0.26064,1.83465,1.33101,1.54301,0.001736,0.001736,0.001736
10,1178.3,1.81902,1.38646,1.55391,0.75818,0.58996,0.64587,0.29627,1.77881,1.24309,1.53689,0.001703,0.001703,0.001703
11,1287.37,1.80612,1.35425,1.54926,0.6991,0.57088,0.62556,0.29699,1.73985,1.25839,1.50436,0.00167,0.00167,0.00167
12,1406.54,1.76397,1.29424,1.51946,0.79148,0.58233,0.66818,0.31749,1.70593,1.19411,1.48681,0.001637,0.001637,0.001637
13,1527.59,1.75166,1.26076,1.5138,0.76702,0.64336,0.68695,0.31867,1.69178,1.14706,1.48372,0.001604,0.001604,0.001604
14,1643.15,1.73074,1.25461,1.49373,0.78741,0.64908,0.70544,0.3376,1.64243,1.12973,1.45604,0.001571,0.001571,0.001571
15,1762.9,1.72749,1.23957,1.50058,0.79089,0.64018,0.69565,0.32697,1.66028,1.23227,1.45979,0.001538,0.001538,0.001538
16,1884.11,1.71338,1.20526,1.46798,0.76982,0.64209,0.70371,0.33417,1.68025,1.11518,1.44427,0.001505,0.001505,0.001505
17,2003.52,1.71629,1.20893,1.47874,0.79818,0.66628,0.72009,0.35598,1.63848,1.05475,1.43529,0.001472,0.001472,0.001472
18,2122.59,1.67537,1.16904,1.44757,0.78235,0.67069,0.73196,0.36106,1.61424,1.04473,1.4224,0.001439,0.001439,0.001439
19,2236.77,1.64452,1.12946,1.42558,0.80008,0.65798,0.72253,0.35142,1.62439,1.04156,1.42548,0.001406,0.001406,0.001406
20,2345.62,1.65597,1.13022,1.43854,0.7996,0.65671,0.72294,0.34978,1.63571,1.0488,1.42891,0.001373,0.001373,0.001373
21,2454.63,1.63644,1.11611,1.41516,0.80355,0.69169,0.74948,0.36329,1.62828,1.02285,1.42679,0.00134,0.00134,0.00134
22,2564.07,1.61348,1.10227,1.40599,0.79996,0.68386,0.73969,0.36218,1.61563,1.0313,1.41098,0.001307,0.001307,0.001307
23,2673.23,1.60713,1.09204,1.403,0.79086,0.71881,0.74724,0.374,1.59297,0.99413,1.38904,0.001274,0.001274,0.001274
24,2786.5,1.60961,1.08363,1.40961,0.81328,0.68976,0.74742,0.3839,1.56325,0.97071,1.36719,0.001241,0.001241,0.001241
25,2902.69,1.60299,1.06769,1.39359,0.83503,0.69485,0.7647,0.38922,1.55744,0.95777,1.37437,0.001208,0.001208,0.001208
26,3011.61,1.5953,1.04375,1.39138,0.82123,0.71074,0.76349,0.37814,1.56103,0.93926,1.37313,0.001175,0.001175,0.001175
